event_id,account_id,event_type,timestamp,ip_address,device_id,geo_country,amount,metadata
evt_87069acb,acct_853198b9,login,2026-07-09 09:22:29.452457,71.125.114.71,dev_9027b95c,IN,,{}
evt_0457986a,acct_853198b9,device_registered,2026-07-10 08:26:12.468060,71.125.114.71,dev_0a62ea3a,IN,,{}
evt_d6424943,acct_853198b9,login,2026-07-10 08:26:34.654644,71.125.114.71,dev_0a62ea3a,IN,,{}
evt_f721bf46,acct_853198b9,payment_instrument_added,2026-07-10 08:31:21.637123,71.125.114.71,dev_0a62ea3a,IN,,{}
evt_fd89a143,acct_853198b9,device_registered,2026-07-10 08:36:28.590210,71.125.114.71,dev_4d7efe98,IN,,{}
evt_d7219651,acct_174749e5,login,2026-07-01 08:20:54.521309,51.214.112.229,dev_8aef0b02,IN,,{}
evt_602138b6,acct_174749e5,device_registered,2026-07-02 08:23:24.486019,51.214.112.229,dev_5ab67469,IN,,{}
evt_6de79652,acct_174749e5,login,2026-07-02 08:24:22.359553,51.214.112.229,dev_5ab67469,IN,,{}
evt_764fe79f,acct_174749e5,device_registered,2026-07-03 06:54:26.207513,51.214.112.229,dev_c0ddac24,IN,,{}
evt_719b0498,acct_92d9f508,login,2026-07-28 18:27:54.335018,24.194.49.183,dev_31cd2502,IN,,{}
evt_e7a8a0e3,acct_92d9f508,device_registered,2026-07-29 18:57:19.640135,24.194.49.183,dev_5e144684,IN,,{}
evt_a36149d7,acct_92d9f508,login,2026-07-29 18:57:50.792453,24.194.49.183,dev_5e144684,IN,,{}
evt_4ba6a454,acct_92d9f508,device_registered,2026-07-30 13:40:55.033295,24.194.49.183,dev_cc758e4a,IN,,{}
evt_79159630,acct_b46ddec3,login,2026-07-29 18:22:17.490660,142.150.185.98,dev_b55c4a5a,IN,,{}
evt_5b97b56b,acct_b46ddec3,device_registered,2026-07-30 19:03:40.101672,142.150.185.98,dev_2688fe85,IN,,{}
evt_16778fc4,acct_b46ddec3,login,2026-07-30 19:04:44.186289,142.150.185.98,dev_2688fe85,IN,,{}
evt_cb7a63bd,acct_b46ddec3,device_registered,2026-07-30 19:09:47.174281,142.150.185.98,dev_7104b50d,IN,,{}
evt_f3c4550f,acct_0e6cc284,login,2026-06-18 07:32:18.294507,94.83.189.181,dev_96917c3b,IN,,{}
evt_320fd9d5,acct_0e6cc284,device_registered,2026-06-19 07:59:49.857597,94.83.189.181,dev_1dd9f58a,IN,,{}
evt_e8c52cfc,acct_0e6cc284,login,2026-06-19 08:00:34.898593,94.83.189.181,dev_1dd9f58a,IN,,{}
evt_53242865,acct_0e6cc284,device_registered,2026-06-19 08:04:13.054359,94.83.189.181,dev_a5e370b6,IN,,{}
evt_b4b2d383,acct_50a68eef,login,2026-07-09 15:11:17.131389,63.83.236.194,dev_4a7e5361,IN,,{}
evt_9c3a5a8b,acct_50a68eef,device_registered,2026-07-10 16:36:51.973308,63.83.236.194,dev_f1e88abd,IN,,{}
evt_d322fa0a,acct_50a68eef,login,2026-07-10 16:37:50.092758,63.83.236.194,dev_f1e88abd,IN,,{}
