account_id,scenario_type,is_ato,split
acct_bda212ed,ato_with_payment_abuse,1,train
acct_bf75b60e,ato_with_payment_abuse,1,train
acct_1ede9e4c,ato_with_payment_abuse,1,train
acct_5a0124dc,ato_with_payment_abuse,1,train
acct_8ab58aa4,ato_with_payment_abuse,1,train
acct_1cf38f36,ato_with_payment_abuse,1,train
acct_f6c48899,ato_with_payment_abuse,1,train
acct_d3cb9f3f,ato_with_payment_abuse,1,train
acct_0be9aa03,ato_with_payment_abuse,1,train
acct_deb0e4b4,ato_with_payment_abuse,1,train
acct_5bb906ba,ato_with_payment_abuse,1,train
acct_a4e26113,ato_with_payment_abuse,1,train
acct_a211ecd2,ato_with_payment_abuse,1,train
acct_114d259d,ato_with_payment_abuse,1,train
acct_74f7aad5,ato_with_payment_abuse,1,train
acct_7d3f8ead,ato_with_payment_abuse,1,val
acct_c4d71430,ato_with_payment_abuse,1,val
acct_cb77b659,ato_with_payment_abuse,1,val
acct_480fff73,ato_with_payment_abuse,1,val
acct_1b00240a,ato_with_payment_abuse,1,val
acct_c9c67ad7,ato_with_payment_abuse,1,test
acct_c4791efd,ato_with_payment_abuse,1,test
acct_4e942f38,ato_with_payment_abuse,1,test
acct_597758bf,ato_with_payment_abuse,1,test
acct_7abc883e,ato_with_payment_abuse,1,test
acct_6bb2eedf,credential_compromise,1,train
acct_d59b2567,credential_compromise,1,train
acct_1b2937b9,credential_compromise,1,train
acct_3fb53546,credential_compromise,1,train
acct_9c8b1e7b,credential_compromise,1,train
acct_067d1ccb,credential_compromise,1,train
acct_8c5d673f,credential_compromise,1,train
acct_70a64e81,credential_compromise,1,train
acct_d198ba44,credential_compromise,1,train
acct_2c2f751d,credential_compromise,1,train
acct_0c71a0d8,credential_compromise,1,train
acct_69f1616e,credential_compromise,1,train
acct_7506df37,credential_compromise,1,train
acct_a361fa0b,credential_compromise,1,train
acct_91828e6f,credential_compromise,1,train
acct_e21b5d92,credential_compromise,1,train
acct_9839b7f7,credential_compromise,1,train
acct_6beef8b7,credential_compromise,1,train
acct_9308de9e,credential_compromise,1,train
acct_4823c604,credential_compromise,1,train
acct_219988ae,credential_compromise,1,train
